Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
161,Jock Landale\jock-landale-1,JR,2016-17,C,Saint Mary's (CA),WCC,28.4,6.8,11.4,6.7,10.8,0.1,0.6,3.3,4.4,3.2,6.3,9.4,1.8,0.3,1.2,2,2.6,17,75,59.64912281,16.66666667
162,Antonio Blakeney\antonio-blakeney-1,SO,2016-17,G,Louisiana State,SEC,33,6.4,13.6,4.6,9,1.8,4.6,2.5,3.6,1.1,3.8,5,1.8,0.6,0.1,2.2,1.6,17,69.44444444,47.05882353,39.13043478
163,Devin Carter\devin-carter-1,SR,2016-17,G,Arkansas State,Sun Belt,32,5.5,12.8,2.4,5,3.1,7.9,2.1,2.9,0.7,3,3.7,0.9,0.9,0.2,1.1,2.4,16.3,72.4137931,42.96875,39.24050633
164,Chandler Hutchison\chandler-hutchison-1,JR,2016-17,G,Boise State,MWC,31.3,6.6,13,5.9,11.1,0.8,1.9,3.7,5.6,1.3,7.2,8.5,2.3,1.3,0.3,2.6,2.8,17.7,66.07142857,50.76923077,42.10526316
165,Ahmaad Rorie\ahmaad-rorie-1,SO,2016-17,G,Montana,Big Sky,31.8,5.8,13.1,3.8,7.8,2.1,5.3,3.2,3.8,0.6,2.8,3.5,3,0.9,0.2,1.6,2.2,17,84.21052632,44.27480916,39.62264151
166,Reed Timmer\reed-timmer-1,JR,2016-17,G,Drake,MVC,29.9,4.9,11.4,3.1,6.4,1.8,5,4.1,5.1,0.5,2.8,3.3,1.7,1,0,1.8,1.7,15.7,80.39215686,42.98245614,36
167,ShawnDre' Jones\shawndre-jones-1,SR,2016-17,G,Richmond,A-10,35.5,5.6,12.2,3.8,7.3,1.8,4.9,3.8,4.7,0.4,1.8,2.2,4.3,1.1,0,2.1,2.4,16.9,80.85106383,45.90163934,36.73469388
168,Sindarius Thornwell\sindarius-thornwell-1,SR,2016-17,G,South Carolina,SEC,33.1,6.5,14.5,4.6,10,1.9,4.5,6.4,7.8,2.8,4.6,7.4,3,2.2,1.1,2.6,2,21.2,82.05128205,44.82758621,42.22222222
169,Ehab Amin\ehab-amin-1,JR,2016-17,G,Texas A&M-Corpus Christi,Southland,33.1,6.4,13.8,5.2,9.6,1.2,4.3,3.5,4.4,1.7,4.5,6.3,2.8,3.3,0.3,3,2.7,17.5,79.54545455,46.37681159,27.90697674
170,Zavier Turner\zavier-turner-1,JR,2016-17,G,Manhattan,MAAC,28.4,4.3,10.7,2.4,6,1.9,4.6,5.1,5.8,0.6,1.7,2.3,3.3,1,0,3.2,2.9,15.6,87.93103448,40.18691589,41.30434783
171,Mikey Dixon\mikey-dixon-1,FR,2016-17,G,Quinnipiac,MAAC,28.7,5.3,11.9,3.4,6.8,1.9,5.1,3.5,4.2,1,2,3,2.2,0.7,0,2,1.9,16.2,83.33333333,44.53781513,37.25490196
172,Eric Eaves\eric-eaves-1,SR,2016-17,G,South Carolina State,MEAC,30,5.7,11.9,4.5,8.5,1.2,3.4,3.7,5.5,1.3,2.8,4.2,2.2,0.7,0.4,2,1.6,16.2,67.27272727,47.89915966,35.29411765
173,Jacolby Mobley\jacolby-mobley-1,SR,2016-17,G,Tennessee-Martin,OVC,35.8,6.2,14.5,2.9,5.5,3.4,9,3.3,4,0.7,2.2,2.9,2.2,1.1,0.1,1.8,2,19.1,82.5,42.75862069,37.77777778
